codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic982024000000016,LAND CRUISER,TOYOTA,LT 038 JH,,1,,10000,200,99443,,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,2,5,16,,6065.0,2024-12-14,2025-01-02,2024-12-27,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,11:17:39
vehic982024000000017,DUSTER,RENAULT,CE 453 MK,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,17,,,2025-02-02,2025-01-23,,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:02:11
vehic982024000000018,HILUX,TOYOTA,CE 147 IN,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,18,,,2024-11-08,2025-02-02,,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:33:46
vehic982024000000019,HILUX,TOYOTA,EN 703 AP,,1,,10000,200,93378,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,19,,,2024-11-08,2025-02-22,2024-12-04,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,11:09:54
vehic982024000000020,HILUX,TOYOTA,CE 326 MN,,4,,10000,200,153114,binary data,binary data,binary data,binary data,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,2,36,20,binary data,60346.0,2024-11-08,2024-11-21,2024-11-21,2024-12-30,,,,,,,,,,,,,,,,,,,,,agent572024000000002,11:28:13,11:15:13
vehic982024000000021,VAN,RENAULT,AD 997 AP,,1,,10000,200,93378,,,,,,,,,2024-08-09,2024-10-23,1,0,21,,,2024-11-08,2024-02-09,2024-03-13,2024-06-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:34:20
vehic982024000000022,MITSUBISHI,MITSUBISHI,CE 542 OB,,4,,10000,200,13900,binary data,,,,,tvehi294202400000002,cvehi294202400000001,,2024-08-09,2024-10-21,2,12,22,,86278.0,2024-11-08,,2024-08-31,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:35:50
vehic982024000000023,PRADO,TOYOTA,CE 635 HY,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,23,,,2025-04-30,2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:39:55
vehic982024000000024,PRADO 2,TOYOTA,CE 072 LP,,1,,10000,200,93378,binary data,,,,,tvehi294202400000001,cvehi294202400000001,,2024-08-09,2024-10-21,1,0,24,,,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:40:57
vehic982024000000025,BL11DO,NISSAN,CE 422 NM,,1,,10000,200,93378,,,,,,,,,2024-08-09,2024-10-21,1,0,25,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:42:53
