codeintervention,niveau,lieu,longitude,latitude,probleme,imagepro1,imagepro2,solution,piecejointe,datedebrepa,datefinrepa,reparation,imagerepa1,imagerepa2,motif,record,agentresponsable,agentoperationnel,agentreparation,codecintervention,codeprojet,datecreated,dateupdated,etat,card,ord,motifsuspension,operateur,codesoustraitant,datedeb,duree,dateinterv,imagepro3,imagepro4,imagepro5,imagepro6,imagepro7,imagepro8,imagepro9,imagepro10,imagerepa3,imagerepa4,imagerepa5,imagerepa6,imagerepa7,imagerepa8,imagerepa9,imagerepa10,timecreated,timeupdated,timedebrepa,timefinrepa,timedeb,timeinterv
intrv101020240000001,False,Douala,0,0,Recyclage sm1,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,56,,0.0,,2024-10-18,04:00:00,2024-10-18,,,,,,,,,,,,,,,,,07:59:00,08:01:18,,,07:00:00,11:00:00
intrv101020240000002,False,Douala,0,0,Recyclage sm3,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,57,,0.0,,2024-10-20,04:00:00,2024-10-20,,,,,,,,,,,,,,,,,08:00:05,08:02:05,,,07:00:00,11:00:00
intrv101020240000003,False,Douala,0,0,recyclage sm2,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,58,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:04:48,08:05:28,,,07:00:00,11:00:00
intrv101020240000004,False,Kribi,0,0,recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,59,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:06:08,08:07:25,,,07:00:00,11:00:00
intrv101020240000005,False,Kribi,0,0,Recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,60,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:06:37,08:08:50,,,07:00:00,11:00:00
intrv101020240000006,False,Kribi,0,0,Recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,61,,0.0,,2024-10-24,04:00:00,2024-10-24,,,,,,,,,,,,,,,,,08:08:10,08:09:41,,,07:00:00,11:00:00
intrv101020240000007,False,Douala,0,0,intrusion avec pirogue,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,62,,0.0,,2024-10-19,04:00:00,2024-10-20,,,,,,,,,,,,,,,,,08:11:38,08:12:18,,,23:00:00,03:00:00
intrv101020240000008,False,Kribi,0,0,intrusion,,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr992024000000001,projt572024000000002,2024-10-10,NaT,1,0,63,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:13:46,,,,,
intrv101020240000009,False,Douala,0,0,reclycage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,64,,0.0,,2025-01-07,04:00:00,2025-01-07,,,,,,,,,,,,,,,,,11:42:18,11:43:10,,,08:00:00,12:00:00
intrv101020240000010,False,Douala,0,0,recyclage shift 1,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,65,,0.0,,2025-02-13,04:00:00,2025-02-13,,,,,,,,,,,,,,,,,11:50:33,12:12:14,,,08:00:00,12:00:00
intrv101020240000011,False,Douala,0,0,shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,66,,0.0,,2025-03-13,04:00:00,2025-03-13,,,,,,,,,,,,,,,,,12:15:27,12:16:37,,,08:00:00,12:00:00
intrv101020240000012,False,Douala ,0,0,shift 1 exercice ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,67,,0.0,,2025-03-20,04:00:00,2025-03-20,,,,,,,,,,,,,,,,,12:20:52,12:21:53,,,08:00:00,12:00:00
intrv101020240000013,False,Douala ,0,0,shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,68,,0.0,,2025-04-12,04:00:00,2025-04-12,,,,,,,,,,,,,,,,,12:23:24,12:24:45,,,07:00:00,11:00:00
intrv101020240000014,False,Douala,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,69,,0.0,,2025-05-12,04:00:00,2025-05-12,,,,,,,,,,,,,,,,,12:25:32,12:26:18,,,07:00:00,11:00:00
intrv101020240000015,False,Douala ,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,70,,0.0,,2025-06-11,04:00:00,2025-06-11,,,,,,,,,,,,,,,,,12:27:04,12:28:05,,,07:00:00,11:00:00
intrv101020240000016,False,Douala ,0,0,Shift 1 Exercice ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,71,,0.0,,2025-06-26,04:00:00,2025-06-26,,,,,,,,,,,,,,,,,12:29:43,12:30:43,,,07:00:00,11:00:00
intrv101020240000017,False,Douala,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,72,,0.0,,2025-07-11,04:00:00,2025-07-11,,,,,,,,,,,,,,,,,12:31:31,12:32:38,,,07:00:00,11:00:00
intrv101020240000018,False,Douala,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,73,,0.0,,2025-08-10,04:00:00,2025-08-10,,,,,,,,,,,,,,,,,12:33:36,12:34:26,,,07:00:00,11:00:00
intrv101020240000019,False,Douala ,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,74,,0.0,,2025-09-09,04:00:00,2025-09-09,,,,,,,,,,,,,,,,,12:35:16,12:36:11,,,07:00:00,11:00:00
intrv101020240000020,False,Douala ,0,0,Shift 1 exercice ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,75,,0.0,,2025-09-15,04:00:00,2025-09-15,,,,,,,,,,,,,,,,,12:37:06,12:37:49,,,07:00:00,11:00:00
intrv101020240000021,False,Douala,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,76,,0.0,,2025-10-09,04:00:00,2025-10-09,,,,,,,,,,,,,,,,,12:38:27,12:39:11,,,07:00:00,11:00:00
intrv101020240000022,False,Douala,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,77,,0.0,,2025-11-08,04:00:00,2025-11-08,,,,,,,,,,,,,,,,,12:39:54,12:40:33,,,08:00:00,12:00:00
intrv101020240000023,False,Douala ,0,0,Shift 1 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,,2024-10-10,2024-10-10,2,0,78,,0.0,,2025-12-08,04:00:00,2025-12-08,,,,,,,,,,,,,,,,,12:41:12,12:41:52,,,08:00:00,12:00:00
intrv101020240000024,False,Douala ,0,0,Shift 1 exercice ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,79,,0.0,,2025-12-15,04:00:00,2025-12-15,,,,,,,,,,,,,,,,,12:42:33,12:43:16,,,08:00:00,12:00:00
intrv101020240000025,False,Douala,0,0,Shift 2 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,80,,0.0,,2025-01-05,04:00:00,2025-01-05,,,,,,,,,,,,,,,,,12:44:14,12:44:57,,,08:00:00,12:00:00
intrv101020240000026,False,Douala,0,0,Shift 2 exercice ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,81,,0.0,,2025-01-10,04:00:00,2025-01-10,,,,,,,,,,,,,,,,,12:45:42,12:46:30,,,08:00:00,12:00:00
intrv101020240000027,False,Douala,0,0,Shift 2 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,82,,0.0,,2025-02-11,04:00:00,2025-02-11,,,,,,,,,,,,,,,,,12:47:31,12:48:23,,,08:00:00,12:00:00
intrv101020240000028,False,Douala,0,0,Shift 2 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,83,,0.0,,2025-03-11,04:00:00,2025-03-11,,,,,,,,,,,,,,,,,12:49:13,12:49:48,,,08:00:00,12:00:00
intrv101020240000029,False,Douala,0,0,Shift 2 recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,84,,0.0,,2025-04-10,04:00:00,2025-04-10,,,,,,,,,,,,,,,,,12:50:38,12:51:19,,,07:00:00,11:00:00
intrv101020240000030,False,Douala ,0,0,Shift 2 exercice,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,85,,0.0,,2025-04-22,04:00:00,2025-04-22,,,,,,,,,,,,,,,,,12:52:13,12:52:54,,,07:00:00,11:00:00
intrv101020240000031,False,Douala,0,0,Shift 2 recyclage ,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,86,,0.0,,2025-05-10,04:00:00,2025-05-10,,,,,,,,,,,,,,,,,12:53:57,12:54:42,,,07:00:00,11:00:00
